Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
1992-04-01,0.77,0.77,0.14,7.4,1.03,0.8,1.08,0.36
1992-05-01,0.33,0.33,0.12,7.6,2.0,0.34,1.08,0.52
1992-06-01,0.06,0.06,0.06,7.8,-0.14,0.46,1.08,0.41
1992-07-01,0.91,0.91,0.08,7.7,-0.56,1.02,0.99,-0.09
1992-08-01,-0.56,-0.56,0.11,7.6,-0.26,-0.27,0.99,0.38
1992-09-01,0.32,0.32,0.03,7.6,1.35,1.2,0.99,-0.39
1992-10-01,0.68,0.68,0.17,7.3,-1.82,1.04,1.04,-0.5
1992-11-01,0.38,0.38,0.13,7.4,2.79,0.04,1.04,0.22
1992-12-01,0.15,0.15,0.2,7.4,2.08,0.94,1.04,3.65
1993-01-01,0.39,0.39,0.26,7.3,-0.31,1.08,0.17,-2.75
1993-02-01,0.48,0.48,0.23,7.1,-0.69,-0.39,0.17,0.46
1993-03-01,-0.1,-0.1,-0.04,7.0,1.63,-0.69,0.17,-0.26
1993-04-01,0.28,0.28,0.27,7.1,-0.24,2.64,0.58,0.75
1993-05-01,-0.37,-0.37,0.25,7.1,-0.23,0.5,0.58,-0.02
1993-06-01,0.23,0.23,0.15,7.0,-0.39,0.03,0.58,-0.12
1993-07-01,0.26,0.26,0.28,6.9,1.49,1.62,0.48,0.32
1993-08-01,-0.11,-0.11,0.13,6.8,1.0,-0.34,0.48,0.22
1993-09-01,0.51,0.51,0.22,6.7,0.7,0.78,0.48,-0.22
1993-10-01,0.75,0.75,0.26,6.8,2.07,0.55,1.36,-0.42
1993-11-01,0.47,0.47,0.23,6.6,-1.65,1.22,1.36,0.26
1993-12-01,0.58,0.58,0.3,6.5,3.61,0.73,1.36,3.48
1994-01-01,0.31,0.31,0.25,6.6,-0.62,-0.81,0.97,-1.98
1994-02-01,0.06,0.06,0.16,6.6,1.51,1.94,0.97,0.1
1994-03-01,1.0,1.0,0.41,6.5,-0.23,1.98,0.97,0.27
1994-04-01,0.59,0.59,0.3,6.4,2.64,-0.16,1.36,0.93
1994-05-01,0.47,0.47,0.29,6.1,1.51,-0.43,1.36,0.2
1994-06-01,0.67,0.67,0.28,6.1,1.8,1.18,1.36,-0.14
1994-07-01,0.13,0.13,0.32,6.1,0.35,0.14,0.58,0.17
1994-08-01,0.66,0.66,0.26,6.0,-0.89,1.44,0.58,0.14
1994-09-01,0.3,0.3,0.3,5.9,0.89,0.95,0.58,0.44
1994-10-01,0.81,0.81,0.18,5.8,2.98,0.69,1.15,0.89
1994-11-01,0.67,0.67,0.36,5.6,-0.75,0.26,1.15,-0.02
1994-12-01,0.99,0.99,0.26,5.5,2.07,0.26,1.15,0.47
1995-01-01,0.19,0.19,0.29,5.6,2.32,0.5,0.35,0.46
1995-02-01,-0.12,-0.12,0.16,5.4,-2.16,-1.45,0.35,0.22
1995-03-01,0.15,0.15,0.18,5.4,0.21,1.09,0.35,0.25
1995-04-01,-0.18,-0.18,0.13,5.8,0.7,0.07,0.3,0.12
1995-05-01,0.49,0.49,-0.02,5.6,1.19,1.41,0.3,0.08
1995-06-01,0.33,0.33,0.21,5.6,-2.11,1.17,0.3,0.37
1995-07-01,-0.42,-0.42,0.08,5.7,-0.41,-0.64,0.85,0.34
1995-08-01,1.31,1.31,0.22,5.7,3.05,0.99,0.85,0.14
1995-09-01,0.39,0.39,0.19,5.6,0.63,0.13,0.85,0.38
1995-10-01,-0.17,-0.17,0.13,5.5,2.33,-0.37,0.68,0.15
1995-11-01,0.25,0.25,0.12,5.6,-1.88,1.47,0.68,0.32
1995-12-01,0.34,0.34,0.14,5.6,2.61,0.24,0.68,0.18
1996-01-01,-0.54,-0.54,-0.01,5.6,-3.75,-0.12,0.75,0.34
1996-02-01,1.45,1.45,0.35,5.5,-1.49,1.51,0.75,0.83
1996-03-01,-0.14,-0.14,0.21,5.5,3.85,0.37,0.75,0.35
1996-04-01,1.0,1.0,0.14,5.6,-0.74,0.79,1.67,0.26
1996-05-01,0.76,0.76,0.28,5.6,2.96,0.89,1.67,0.43
1996-06-01,0.75,0.75,0.23,5.3,0.61,-0.8,1.67,0.66
1996-07-01,0.0,0.0,0.21,5.5,-1.1,0.65,0.9,-0.21
1996-08-01,0.51,0.51,0.15,5.1,0.95,0.01,0.9,0.32
1996-09-01,0.63,0.63,0.17,5.2,-1.17,1.13,0.9,0.28
1996-10-01,-0.02,-0.02,0.22,5.2,2.72,1.08,1.04,0.01
1996-11-01,0.89,0.89,0.23,5.4,0.06,-0.17,1.04,0.32
1996-12-01,0.62,0.62,0.16,5.4,-2.4,0.24,1.04,0.39
1997-01-01,0.18,0.18,0.18,5.3,1.71,1.13,0.65,0.57
1997-02-01,1.18,1.18,0.26,5.2,4.04,0.67,0.65,0.31
1997-03-01,0.63,0.63,0.26,5.2,-0.25,0.73,0.65,0.47
1997-04-01,0.08,0.08,0.24,5.1,2.21,-1.48,1.67,0.07
1997-05-01,0.56,0.56,0.22,4.9,-2.42,-0.07,1.67,0.46
1997-06-01,0.46,0.46,0.21,5.0,2.93,1.13,1.67,0.36
1997-07-01,0.84,0.84,0.24,4.9,1.96,1.25,1.25,0.45
1997-08-01,1.01,1.01,-0.02,4.8,-0.87,0.06,1.25,0.59
1997-09-01,0.92,0.92,0.4,4.9,2.23,0.62,1.25,0.3
1997-10-01,0.89,0.89,0.28,4.7,-2.51,-0.09,0.85,0.53
1997-11-01,0.8,0.8,0.24,4.6,0.94,-0.26,0.85,0.71
1997-12-01,0.43,0.43,0.26,4.7,-0.31,0.68,0.85,0.61
1998-01-01,0.44,0.44,0.21,4.6,-0.72,0.32,1.0,0.89
1998-02-01,0.18,0.18,0.17,4.6,2.65,-0.09,1.0,0.7
1998-03-01,0.04,0.04,0.12,4.7,-1.42,0.51,1.0,0.63
1998-04-01,0.35,0.35,0.22,4.3,-1.75,1.55,0.93,0.38
1998-05-01,0.65,0.65,0.32,4.4,2.55,0.25,0.93,0.47
1998-06-01,-0.59,-0.59,0.18,4.5,0.24,0.96,0.93,0.58
1998-07-01,-0.4,-0.4,0.11,4.5,-3.03,-0.71,1.26,0.18
1998-08-01,2.06,2.06,0.27,4.5,0.39,-0.76,1.26,0.38
1998-09-01,-0.09,-0.09,0.16,4.6,1.76,1.09,1.26,0.34
1998-10-01,0.68,0.68,0.16,4.5,-2.66,1.66,1.61,0.18
1998-11-01,-0.09,-0.09,0.22,4.4,2.16,0.6,1.61,0.47
1998-12-01,0.4,0.4,0.29,4.4,2.07,1.07,1.61,0.24
1999-01-01,0.41,0.41,0.08,4.3,-2.77,0.05,0.94,0.39
1999-02-01,0.58,0.58,0.33,4.4,2.37,1.28,0.94,0.41
1999-03-01,0.21,0.21,0.09,4.2,-0.5,0.55,0.94,0.11
1999-04-01,0.22,0.22,0.28,4.3,0.75,0.79,0.83,-0.29
1999-05-01,0.61,0.61,0.17,4.2,0.12,0.71,0.83,0.23
1999-06-01,-0.07,-0.07,0.21,4.3,0.01,0.39,0.83,0.36
1999-07-01,0.59,0.59,0.26,4.3,2.73,0.78,1.33,0.25
1999-08-01,0.44,0.44,0.12,4.2,-0.11,1.03,1.33,0.46
1999-09-01,-0.41,-0.41,0.15,4.2,1.17,0.47,1.33,-0.06
1999-10-01,1.28,1.28,0.31,4.1,1.13,-0.08,1.64,0.59
1999-11-01,0.53,0.53,0.22,4.1,-1.83,1.3,1.64,0.69
1999-12-01,0.8,0.8,0.24,4.0,3.28,2.01,1.64,0.82
2000-01-01,-0.08,-0.08,0.17,4.0,0.38,-0.67,0.36,0.9
2000-02-01,0.34,0.34,0.08,4.1,-5.15,1.58,0.36,0.41
2000-03-01,0.39,0.39,0.37,4.0,5.6,1.25,0.36,0.28
2000-04-01,0.63,0.63,0.21,3.8,1.07,-1.84,1.82,0.54
2000-05-01,0.29,0.29,0.17,4.0,-2.44,0.73,1.82,0.36
2000-06-01,0.07,0.07,-0.03,4.0,4.07,0.66,1.82,0.28
2000-07-01,-0.18,-0.18,0.13,4.0,-3.85,-0.77,0.1,0.53
2000-08-01,-0.27,-0.27,0.0,4.1,0.48,0.45,0.1,0.55
2000-09-01,0.42,0.42,0.08,3.9,2.04,1.36,0.1,0.09
2000-10-01,-0.37,-0.37,0.01,3.9,-2.97,-0.07,0.6,0.26
2000-11-01,0.02,0.02,0.15,3.9,-0.89,-0.55,0.6,0.06
2000-12-01,-0.34,-0.34,0.12,3.9,-0.53,-0.19,0.6,0.23
2001-01-01,-0.49,-0.49,-0.01,4.2,-2.72,1.69,-0.33,0.61
2001-02-01,-0.66,-0.66,0.06,4.2,-0.24,-0.09,-0.33,0.24
2001-03-01,-0.25,-0.25,-0.03,4.3,-4.39,-1.03,-0.33,0.37
2001-04-01,-0.35,-0.35,-0.22,4.4,-3.8,1.7,0.62,-0.18
2001-05-01,-0.53,-0.53,-0.04,4.3,4.44,0.5,0.62,-0.24
2001-06-01,-0.53,-0.53,-0.08,4.5,-0.81,-0.47,0.62,-0.11
2001-07-01,-0.61,-0.61,-0.1,4.6,-2.7,-0.5,-0.4,0.01
2001-08-01,-0.09,-0.09,-0.11,4.9,0.25,0.94,-0.4,-0.13
2001-09-01,-0.54,-0.54,-0.2,5.0,-2.99,-2.54,-0.4,0.05
2001-10-01,-0.3,-0.3,-0.24,5.3,-2.77,7.44,0.27,-0.22
2001-11-01,-0.59,-0.59,-0.23,5.5,1.77,-2.98,0.27,0.04
2001-12-01,-0.04,-0.04,-0.12,5.7,1.04,-1.33,0.27,0.17
2002-01-01,0.7,0.7,-0.09,5.7,-4.02,0.3,0.84,0.19
2002-02-01,-0.01,-0.01,-0.09,5.7,1.85,0.63,0.84,0.01
2002-03-01,0.76,0.76,-0.01,5.7,-0.93,-0.28,0.84,-0.06
2002-04-01,0.48,0.48,-0.08,5.9,3.69,1.1,0.61,0.12
2002-05-01,0.43,0.43,0.01,5.8,0.89,-0.78,0.61,0.28
2002-06-01,0.82,0.82,0.03,5.8,-2.29,0.52,0.61,0.24
2002-07-01,-0.03,-0.03,-0.07,5.8,-0.17,1.33,0.41,-0.3
2002-08-01,-0.1,-0.1,-0.0,5.7,0.04,0.61,0.41,-0.0
2002-09-01,0.1,0.1,-0.06,5.7,-0.5,-1.69,0.41,0.06
2002-10-01,-0.26,-0.26,0.09,5.7,0.14,0.67,0.12,0.17
2002-11-01,0.55,0.55,-0.0,5.9,0.28,0.17,0.12,0.22
2002-12-01,-0.55,-0.55,-0.12,6.0,-1.01,1.14,0.12,0.22
2003-01-01,0.83,0.83,0.08,5.8,-0.14,0.7,0.53,-0.28
2003-02-01,0.12,0.12,-0.1,5.9,2.15,-1.37,0.53,-0.35
2003-03-01,-0.27,-0.27,-0.16,5.9,-0.99,1.22,0.53,0.15
2003-04-01,-0.63,-0.63,-0.05,6.0,-1.63,0.3,0.89,0.41
2003-05-01,-0.03,-0.03,0.02,6.1,1.11,0.2,0.89,0.74
2003-06-01,0.13,0.13,-0.01,6.3,1.22,1.4,0.89,0.33
2003-07-01,0.52,0.52,-0.0,6.2,0.42,0.86,1.66,0.09
2003-08-01,-0.21,-0.21,-0.02,6.1,1.45,1.14,1.66,0.16
2003-09-01,0.65,0.65,0.08,6.1,1.17,-0.22,1.66,0.15
2003-10-01,0.13,0.13,0.14,6.0,3.18,-0.24,1.16,0.38
2003-11-01,0.68,0.68,0.03,5.8,-0.04,0.41,1.16,0.58
2003-12-01,0.05,0.05,0.08,5.7,-0.28,0.42,1.16,0.04
2004-01-01,0.17,0.17,0.13,5.7,-1.26,0.43,0.57,-0.19
2004-02-01,0.62,0.62,0.05,5.6,0.47,0.64,0.57,0.13
2004-03-01,-0.39,-0.39,0.24,5.8,6.33,1.83,0.57,0.36
2004-04-01,0.39,0.39,0.21,5.6,-2.8,-0.68,0.77,0.32
2004-05-01,0.74,0.74,0.22,5.6,0.65,1.21,0.77,0.53
2004-06-01,-0.77,-0.77,0.07,5.6,-0.17,-0.63,0.77,0.1
2004-07-01,0.74,0.74,0.04,5.5,-0.55,0.83,0.95,0.35
2004-08-01,0.09,0.09,0.07,5.4,2.03,-0.16,0.95,0.4
2004-09-01,0.11,0.11,0.11,5.4,1.54,2.01,0.95,0.12
2004-10-01,0.89,0.89,0.26,5.5,-0.21,0.32,1.02,0.05
2004-11-01,0.25,0.25,0.06,5.4,1.47,0.64,1.02,-0.26
2004-12-01,0.78,0.78,0.09,5.4,2.13,1.3,1.02,3.38
2005-01-01,0.35,0.35,0.11,5.3,0.26,-1.05,1.11,-2.73
2005-02-01,0.72,0.72,0.19,5.4,1.32,1.26,1.11,0.07
2005-03-01,-0.14,-0.14,0.09,5.2,-1.67,0.27,1.11,0.33
2005-04-01,0.21,0.21,0.28,5.2,0.33,0.9,0.49,0.34
2005-05-01,0.09,0.09,0.13,5.1,0.07,-0.57,0.49,0.44
2005-06-01,0.44,0.44,0.19,5.0,2.83,3.05,0.49,0.26
2005-07-01,-0.32,-0.32,0.26,5.0,-3.73,0.69,0.78,0.15
2005-08-01,0.33,0.33,0.15,4.9,5.22,-1.16,0.78,0.18
2005-09-01,-1.94,-1.94,0.04,5.0,0.54,0.3,0.78,-0.32
2005-10-01,1.22,1.22,0.07,5.0,1.31,0.05,0.56,0.58
2005-11-01,1.1,1.1,0.26,5.0,1.59,0.88,0.56,0.66
2005-12-01,0.48,0.48,0.12,4.9,-0.13,0.05,0.56,0.35
2006-01-01,0.16,0.16,0.2,4.7,2.1,2.87,1.35,1.22
2006-02-01,0.04,0.04,0.23,4.8,-0.09,-0.76,1.35,0.52
2006-03-01,0.23,0.23,0.22,4.7,1.59,0.38,1.35,0.43
2006-04-01,0.3,0.3,0.13,4.7,-0.83,0.49,0.26,0.05
2006-05-01,0.03,0.03,0.03,4.6,1.17,-0.34,0.26,-0.08
2006-06-01,0.34,0.34,0.06,4.6,0.75,0.55,0.26,0.12
2006-07-01,-0.07,-0.07,0.14,4.7,-1.18,0.32,0.15,-0.08
2006-08-01,0.43,0.43,0.12,4.7,-1.63,0.39,0.15,-0.1
2006-09-01,-0.18,-0.18,0.1,4.5,2.22,-0.58,0.15,0.59
2006-10-01,-0.1,-0.1,0.01,4.4,-0.25,-0.06,0.86,0.53
2006-11-01,-0.03,-0.03,0.16,4.5,-0.02,0.31,0.86,0.5
2006-12-01,1.03,1.03,0.14,4.4,3.26,1.21,0.86,0.59
2007-01-01,-0.36,-0.36,0.16,4.6,-3.22,-0.16,0.3,0.18
2007-02-01,0.96,0.96,0.06,4.5,1.14,0.21,0.3,0.44
2007-03-01,0.18,0.18,0.16,4.4,0.78,0.8,0.3,0.38
2007-04-01,0.67,0.67,0.05,4.5,1.79,-0.24,0.61,0.16
2007-05-01,0.05,0.05,0.11,4.4,-0.39,1.26,0.61,0.05
2007-06-01,0.03,0.03,0.06,4.6,-2.5,-0.79,0.61,-0.04
2007-07-01,-0.16,-0.16,-0.02,4.7,1.42,0.43,0.58,0.07
2007-08-01,0.2,0.2,-0.02,4.6,0.87,0.53,0.58,-0.01
2007-09-01,0.24,0.24,0.06,4.7,-0.31,0.41,0.58,0.14
2007-10-01,-0.29,-0.29,0.06,4.7,1.39,0.59,0.63,-0.13
2007-11-01,0.56,0.56,0.08,4.7,0.15,0.94,0.63,-0.07
2007-12-01,0.06,0.06,0.08,5.0,2.02,-1.13,0.63,0.43
2008-01-01,-0.12,-0.12,-0.0,5.0,0.81,0.22,-0.43,0.12
2008-02-01,-0.37,-0.37,-0.05,4.9,-2.21,-0.88,-0.43,0.1
2008-03-01,-0.32,-0.32,-0.05,5.1,1.84,0.29,-0.43,0.12
2008-04-01,-0.69,-0.69,-0.16,5.0,2.04,-0.1,0.6,-0.28
2008-05-01,-0.62,-0.62,-0.14,5.4,-1.64,0.94,0.6,4.24
2008-06-01,-0.26,-0.26,-0.11,5.6,1.25,0.18,0.6,-2.4
2008-07-01,-0.45,-0.45,-0.15,5.8,-2.6,-0.36,-0.53,-1.61
2008-08-01,-1.58,-1.58,-0.21,6.1,-3.35,-0.81,-0.53,-0.63
